Mes,Precio/litro Nacional - SIGLeA,Precio/kg. de SU Nacional - SIGLeA,IPC - INDEC CoberNac,"Leche, Productos Lácteos y Huevos GBA -INDEC",IPIM Nivel General - INDEC,IPIM Lácteos - INDEC,DOLAR OFICIAL $/US$,PRODUCCION NACIONAL DE LECHE millones de lts./mes,Producción diaria por tambos NACIONAL,GRASA BUTIROSA   %,PROTEINA  %,UFC/ml      en miles,CELULAS SOMÁTICAS  en miles,RELACION LECHE/MAIZ,RELACION VAQUILLONA AL PARIR - LECHE,COSTO ,RENTABILIDAD,EXPORTACIONES             miles de US$/mes,EXPORTACIONES             toneladas/mes,ELABORACIÓN TOTAL ,EXISTENCIAS TOTAL ,VENTAS TOTALES ,LECHE COMUN ENTERA $/litro,QUESO TIPO CUARTIROLO $/kg ,YOGUR para beber sachet $/1000 grs,LPE GDT dólares/ton.,Indice de Precios de los Lácteos FAO
2016-11-01,4.32,69.7,98.0,99.0,133.678918859084,138.09968305346908,15.3399,917.3,3191.0,0.03443329263040785,0.032215041062184466,66.97028010034612,394.33182479989665,1.7836026803310998,5077.0,4.25,0.01,77288.09431,27289.75325,235185.46675276975,168614.5546971481,213762.4946707884,16.79,133.38,24.61,3370.0,94.50275198026003
2016-12-01,4.675,70.2,100.0,100.0,134.5289914765469,140.42622162336752,15.8296,908.8,2760.0,0.032834508798912115,0.0322072512669796,85.46279526170737,408.0717940953905,1.7913970308336509,5308.0,4.4,0.012,89278.43375999999,29097.854669999997,237390.87165445165,163203.3004173327,212884.9954951985,16.86,135.27,25.03,3581.0,96.201970549219
2017-01-01,4.905,70.32,101.5859,102.1541,136.54590731224377,148.09757232659894,15.9065,812.0,2441.0,0.03385662150132331,0.03369072207374442,110.84667632430494,473.1635682744945,1.8570356472795497,4646.0,4.35,0.032,67647.808515,22388.315710000003,223649.05054227338,165379.07813325743,209904.1839190854,17.51,136.26,26.63,3289.0,98.55019651013875
2017-02-01,5.02,73.601,103.6859,105.2875,138.82611252136985,154.51069264057188,15.5983,681.6,2254.0,0.03439222251356156,0.03210181763016572,108.15458621268564,495.39621474570214,2.080327868852459,4528.0,4.6,0.024,53642.91905700001,17109.46596,189795.1342570508,160193.74858258592,183812.26805702495,17.95,140.74,27.09,3252.0,99.2263745550868
2017-03-01,5.15,73.45,106.1476,108.0146,140.1063628474242,155.7965599737579,15.5237,731.7,2149.0,0.035104501101192176,0.03288809264082799,89.64783200702284,505.4636361217732,2.2408444635932785,4808.0,4.71,0.025,59388.93507500001,17716.286790000002,219494.0088395035,147417.45993042918,222104.87116622482,18.12,147.08,27.84,2819.0,100.62623876255081
2017-04-01,5.26,71.02,108.9667,113.7921,140.75434995069008,161.44467798000355,15.36,710.9,2189.0,0.036337138492398564,0.0336482948922749,85.52108724136751,456.90121386416587,2.267237687366167,4688.0,4.72,0.03,46684.370714000004,13985.482240000001,182692.8179127064,138999.9117870767,175118.03877146158,18.73,151.18,28.3,2961.0,100.04438119803854
2017-05-01,5.41,74.71,110.5301,116.5728,141.96122803498693,164.3587657701035,15.6981,782.0,2228.0,0.03627462561771331,0.03388342121186704,84.96477384461542,437.86892179235207,2.2950819672131146,4762.0,4.74,0.039,49337.699241,15440.817130000001,207967.9998369691,131924.27639714643,199801.41749430206,19.3,155.29,28.92,3273.0,104.83069988541726
2017-06-01,5.51,76.83,111.8477,120.7837,144.61686354956535,166.39501186716575,16.1166,795.6,2413.0,0.03589076083397254,0.03369735499354754,79.47487138902896,406.43594922511073,2.471111111111111,4496.0,4.7,0.047,57362.904528,17872.707060000004,208689.3388087159,119756.47656530913,202667.83369300002,19.66,158.09,29.14,3083.0,109.65622669130484
2017-07-01,5.56,78.76,113.7852,122.983,148.311344172517,169.9498493594889,17.169,861.4,2547.0,0.03528963614179482,0.033044134079696634,86.46189230615354,400.25750486442394,2.340425531914894,4724.0,4.85,0.038,64401.676248,19447.335850000003,226926.3816007425,127975.04061895712,201589.03690873313,20.18,161.16,28.78,3113.0,113.89555698485401
2017-08-01,5.61,80.5,115.3819,123.9151,151.15729214852485,170.26393832412165,17.4165,911.1,2728.0,0.03462896153253067,0.03275418278059137,83.8647911039577,387.9252016144685,2.4503025064822817,4850.0,4.95,0.036,68987.485746,22466.345610000004,244948.63385788593,134305.12259585445,218343.96357596762,20.34,160.92,30.16,3149.0,116.89348826725157
2017-09-01,5.63,82.44,117.5719,124.935,152.6686030233649,173.6212358834189,17.2465,938.9,2946.0,0.0345164641703398,0.032825116633750547,91.11816235016595,363.8885184806723,2.4531384350816854,4991.0,5.01,0.033,74450.0,22673.575890000004,224003.96955470313,139761.58524533187,210335.51323513326,20.59,163.27,30.23,3111.0,118.3996848364948
2017-10-01,5.66,82.43,119.3528,125.1418,154.91056203698489,174.65909500681818,17.4528,991.0,2977.0,0.03428187570875476,0.03267722692846064,93.83679997732645,374.77538097038655,2.4291155311045283,4965.0,5.12,0.023,82937.86989,25703.075705999996,236329.3359421554,153498.69619622538,209517.94008498147,20.58,161.66,30.9,3026.0,115.36784623317698
2017-11-01,5.69,83.68,120.994,126.9029,157.30286911009856,175.83379250284392,17.4925,951.5,2973.0,0.03397963547923944,0.03221571385458452,93.10495484760335,384.79865361625235,2.4038461538461537,5043.0,5.15,0.022,82215.927786,25492.258277999998,227548.1588137967,161925.3637759521,206428.22110386335,21.04,163.96,31.79,2815.0,111.37473962746373
2017-12-01,5.71,84.98,124.7956,127.6933,159.88571353640413,177.60645252166861,17.7001,929.8,2852.0,0.03379335913022814,0.03196865314319824,105.10340157644832,417.65586545207054,2.2652582159624415,5009.0,5.22,0.018,69294.264054,23256.17655,219426.9425707631,157215.62438741833,200730.16041742114,21.12,159.84,32.33,2793.0,107.26983272870129
2018-01-01,5.72,85.96,126.9887,129.2001,167.1908680259102,178.8101832117846,19.029,884.6,2749.0,0.03380858445159436,0.03204591516078548,95.30211150851565,411.7400095129853,2.0152883947185543,4569.0,5.27,0.016,71684.0,22755.0,235338.58661220406,163150.39202332502,205185.45895126415,21.23,160.02,33.01,2948.0,105.9981439767852
2018-02-01,5.760880218920249,85.96,130.0606,130.766,175.29547139727555,181.41501806760994,19.8409,741.3,2569.0,0.034311906882176765,0.032269621587156704,83.39961473578401,415.6495992470623,1.8019129898179573,4368.0,5.6,-0.001,62940.0,20597.0,208393.68985842334,159309.15225892278,199170.7163225828,21.46,161.48,32.73,3236.0,108.75719204638173
2018-03-01,5.938018727729998,85.04761697053947,133.1054,134.7596,178.68843528160892,183.8539048355586,20.2378,809.9,2517.0,0.03571313674034997,0.03293425002125268,74.69283929650213,389.983758592603,1.7429067747539082,4618.0,6.07,-0.002,71915.0,23325.0,224750.599044493,148815.8248257499,221364.1479161207,21.57,165.69,32.96,3229.0,111.29318739172871
2018-04-01,6.12,85.68,136.7512,140.0406,181.8925388769282,189.42224949867824,20.2349,775.7,2474.0,0.036286932735286756,0.03280490560935027,87.97796372759738,382.4095802659516,1.6972351491924447,4919.0,6.27,-0.003,68739.0,22936.0,211780.99298752093,142993.7637054278,200517.67487283738,22.0,166.74,33.08,3295.0,109.98831258037268
2018-05-01,6.320390992791338,87.26,139.5893,143.2863,195.55041017068828,192.5058058196906,23.6687,798.2,2446.0,0.036507365092726604,0.032896519587889375,90.59797235432605,415.9693842950521,1.4980135545688245,4805.0,6.54,-0.007,71569.0,23670.0,234427.83611670925,144905.30796316243,209802.4316483398,22.02,170.04,33.46,3229.0,111.41927912242879
2018-06-01,6.745734670269771,90.04497583273552,144.8053,148.4525,208.32434958625137,200.8760518706044,26.5342,833.7,2616.0,0.0376182139793716,0.0341716365147833,72.80811612408688,400.65972902216413,1.6122975827270594,4076.0,6.88,-0.002,71158.0,22697.0,205324.03474879576,136779.1778344785,193514.87950157933,22.8,177.22,34.09,3197.0,112.28056405223711
2018-07-01,7.12,94.32607069669307,149.2966,151.918,218.18092421955836,204.95357740505045,27.6247,897.0,2766.0,0.0374509492042883,0.033910112210638,71.81073761712686,387.6998722170471,1.6876456876456878,4213.0,7.38,-0.007,82977.0,26802.0,219564.61767433834,135098.96981510785,200863.73747390835,23.02,180.23,35.2,2939.0,110.12866170010003
2018-08-01,7.41,105.69,155.1034,157.0051,228.85916934960517,211.45325741246234,30.1245,947.5,2925.0,0.0375,0.0335,80.0,379.0,1.6380247987818142,4050.0,7.6,-0.003,82743.0,26289.0,226061.29617029475,130129.04353223143,186292.90418236938,24.04,185.16,35.87,2921.0,108.45795268764054
2018-09-01,7.922530551848605,115.13664096757599,165.2383,168.6808,265.5738589612281,228.44525143684209,38.59,974.1,3069.0,0.0361,0.033,81.0,363.0,1.5499712257816995,4270.0,8.27,-0.008,86790.0,27725.0,235887.91905074252,133974.8243050385,192083.65139034876,25.51,196.07,38.43,2794.0,108.29185856578289
